00000922-11f6-41a0-9ba0-1adcec554771-1537821865875,45103
00001b80-386d-445f-ad28-e2972a40cfe3-1547469770973,48349
00001fbb-52b2-42bd-8f40-9a828b8fcf93,25496
0000093b-ab63-4aef-a8b4-58ce835bf785-1545052518588,44327,44327
0000584d-c16a-4f38-be13-0e5f76cdd4ce-1542637693118,48028
00001be6-4c10-4779-ba0a-e5472f5143e9-1528631542274,32018,32018,34127
00005a5c-a7ea-411a-bcca-52b830a0b82e-1543591226612,48123-omdoos
00002a77-f4c9-43b2-a153-f66b352a6045-1531678503237,21857
0000631f-050b-4fd0-80f0-efe014c9a6a1,33695
000062c5-7044-46a7-a429-1f9657996113-1522319474762,45103,45103
00007dd6-82f5-4d04-b66b-84c9411ba1e5-1531679194627,40684
00003238-1f70-4589-a79b-f2fb0869e0ff-1535638215378,45699
0000886a-50e0-4b93-8853-5bea0663fa3a-1518874882288,27798
00003141-f613-407a-89c1-d8d624ca5feb-1519514778287,16560,31940,16560
000099ac-09bc-4a35-bbc5-979ed1884775-1525025681573,38480
000074e6-7ca7-437b-b2fc-f956831439fc-1542135637973,42712,38388
00008a1a-cd95-467d-96e1-bfd13ae47746-1520501821671,21268,21268
00009e49-f80e-4f68-9f56-40b863340360-1546868087050,45107
0000a737-6bf4-418e-b5a5-8b70d8d56b48-1534762322257,47070
000099c1-9863-4bb0-9fa6-705253bb53a6-1531573435518,29606
0000a8fe-a90b-43d5-9bc7-1b54eeb4cfdb-1542019006401,46509
0000e1cd-7dd3-43a2-b19e-c21478518644-1539367328736,25974,25974
0000f4d7-dc62-49ab-a57a-b1573370a4c3-1522062602321,39538
0000c807-d86c-44dd-be38-5e870a4285de-1521795099243,42518-groen
0000b09e-1e4b-4829-bcaa-fa852daf5fef-1547650362822,35445,35445
0000a1c1-466a-4c67-9b82-4e4a0ba82e72-1527838572042,33070
000103b7-421d-425f-8934-f17793b4a7cd,42682,41102,39515,29229,39408
00011e9f-1de6-4697-a2ec-5d7e1c94b5f0,36168
0000e0d0-d647-4c1a-b6e5-3c965ba49e39-1521567222522,30620,5942,7174,30624,5941,30626,5942,30626,8629,8627,8628
00012097-4e00-4226-bdf1-627fc051064a-1527145159827,41420
0000e70c-97df-4833-b768-24a49fc9e38d-1542590694647,27786
0000f4eb-f008-42f6-9765-ee2691aee660-1521890157811,20419,43349,20419,16282
000130a9-e593-4537-a603-21edf79fe85d,42038
00011b3c-389f-4fa5-8540-0f592a70b329-1529241366668,45102,45116,45665
0000ea76-3f34-45ee-ab86-c1e01f548c09-1522236687057,41946,4679,4679,4679,41946,4679,27085,4679,4679,40770
000140ce-e093-4a08-b907-52d49a7601f3,43505
000138dd-37c6-4d98-b2b0-1470a82c135b-1531838534624,27362
000145f6-7130-44ce-a83f-988a9d68f22a-1542536285085,9740
00014678-29d1-4c86-93d8-0cce6cd6ae3c-1544192051099,38500
